cp_value	max_depth	min_split	minbucket_value	ganancia_promedio
-0.5	4	1000	5	46834000
-0.5	4	1000	10	46802000
-0.5	4	1000	15	47072000
-0.5	4	1000	20	47198000
-0.5	4	1000	25	47012000
-0.5	4	800	5	46834000
-0.5	4	800	10	46802000
-0.5	4	800	15	47072000
-0.5	4	800	20	47198000
-0.5	4	800	25	47012000
-0.5	4	600	5	46834000
-0.5	4	600	10	46208000
-0.5	4	600	15	46478000
-0.5	4	600	20	46604000
-0.5	4	600	25	46418000
-0.5	4	400	5	46834000
-0.5	4	400	10	46208000
-0.5	4	400	15	46478000
-0.5	4	400	20	46604000
-0.5	4	400	25	46418000
-0.5	4	200	5	46676000
-0.5	4	200	10	46050000
-0.5	4	200	15	46320000
-0.5	4	200	20	46446000
-0.5	4	200	25	46260000
-0.5	4	100	5	46676000
-0.5	4	100	10	46050000
-0.5	4	100	15	46320000
-0.5	4	100	20	46446000
-0.5	4	100	25	46260000
-0.5	4	50	5	46904000
-0.5	4	50	10	46100000
-0.5	4	50	15	46338000
-0.5	4	50	20	46462000
-0.5	4	50	25	46246000
-0.5	4	20	5	46904000
-0.5	4	20	10	46100000
-0.5	4	20	15	46338000
-0.5	4	20	20	46462000
-0.5	4	20	25	46246000
-0.5	4	10	5	46904000
-0.5	4	10	10	46100000
-0.5	4	10	15	46338000
-0.5	4	10	20	46462000
-0.5	4	10	25	46246000
-0.5	6	1000	5	48660000
-0.5	6	1000	10	48460000
-0.5	6	1000	15	48598000
-0.5	6	1000	20	48798000
-0.5	6	1000	25	48092000
-0.5	6	800	5	48660000
-0.5	6	800	10	48438000
-0.5	6	800	15	48576000
-0.5	6	800	20	48798000
-0.5	6	800	25	48092000
-0.5	6	600	5	48808000
-0.5	6	600	10	47754000
-0.5	6	600	15	48074000
-0.5	6	600	20	48176000
-0.5	6	600	25	47446000
-0.5	6	400	5	48580000
-0.5	6	400	10	47594000
-0.5	6	400	15	47704000
-0.5	6	400	20	48022000
-0.5	6	400	25	47342000
-0.5	6	200	5	47992000
-0.5	6	200	10	46982000
-0.5	6	200	15	46888000
-0.5	6	200	20	47782000
-0.5	6	200	25	47216000
-0.5	6	100	5	48132000
-0.5	6	100	10	47166000
-0.5	6	100	15	46830000
-0.5	6	100	20	47454000
-0.5	6	100	25	46958000
-0.5	6	50	5	47938000
-0.5	6	50	10	47406000
-0.5	6	50	15	47034000
-0.5	6	50	20	47586000
-0.5	6	50	25	46810000
-0.5	6	20	5	47640000
-0.5	6	20	10	47134000
-0.5	6	20	15	46788000
-0.5	6	20	20	47432000
-0.5	6	20	25	46810000
-0.5	6	10	5	47564000
-0.5	6	10	10	47134000
-0.5	6	10	15	46788000
-0.5	6	10	20	47432000
-0.5	6	10	25	46810000
-0.5	8	1000	5	48376000
-0.5	8	1000	10	49664000
-0.5	8	1000	15	49184000
-0.5	8	1000	20	48816000
-0.5	8	1000	25	47730000
-0.5	8	800	5	48382000
-0.5	8	800	10	49802000
-0.5	8	800	15	49216000
-0.5	8	800	20	48788000
-0.5	8	800	25	47606000
-0.5	8	600	5	48110000
-0.5	8	600	10	48610000
-0.5	8	600	15	48444000
-0.5	8	600	20	47520000
-0.5	8	600	25	46364000
-0.5	8	400	5	47898000
-0.5	8	400	10	48480000
-0.5	8	400	15	47870000
-0.5	8	400	20	47526000
-0.5	8	400	25	46230000
-0.5	8	200	5	46622000
-0.5	8	200	10	47304000
-0.5	8	200	15	46750000
-0.5	8	200	20	46894000
-0.5	8	200	25	45562000
-0.5	8	100	5	46216000
-0.5	8	100	10	46568000
-0.5	8	100	15	46008000
-0.5	8	100	20	45800000
-0.5	8	100	25	44354000
-0.5	8	50	5	45506000
-0.5	8	50	10	46542000
-0.5	8	50	15	46340000
-0.5	8	50	20	45960000
-0.5	8	50	25	44112000
-0.5	8	20	5	44560000
-0.5	8	20	10	45338000
-0.5	8	20	15	45326000
-0.5	8	20	20	45996000
-0.5	8	20	25	44112000
-0.5	8	10	5	43400000
-0.5	8	10	10	45338000
-0.5	8	10	15	45326000
-0.5	8	10	20	45996000
-0.5	8	10	25	44112000
-0.5	10	1000	5	48828000
-0.5	10	1000	10	48598000
-0.5	10	1000	15	47840000
-0.5	10	1000	20	47640000
-0.5	10	1000	25	46574000
-0.5	10	800	5	48858000
-0.5	10	800	10	49286000
-0.5	10	800	15	48464000
-0.5	10	800	20	48054000
-0.5	10	800	25	46580000
-0.5	10	600	5	48306000
-0.5	10	600	10	48206000
-0.5	10	600	15	47814000
-0.5	10	600	20	46480000
-0.5	10	600	25	46300000
-0.5	10	400	5	47154000
-0.5	10	400	10	48006000
-0.5	10	400	15	47400000
-0.5	10	400	20	46030000
-0.5	10	400	25	45926000
-0.5	10	200	5	44562000
-0.5	10	200	10	45268000
-0.5	10	200	15	45526000
-0.5	10	200	20	44922000
-0.5	10	200	25	44264000
-0.5	10	100	5	43122000
-0.5	10	100	10	43488000
-0.5	10	100	15	44722000
-0.5	10	100	20	43532000
-0.5	10	100	25	42714000
-0.5	10	50	5	41506000
-0.5	10	50	10	43054000
-0.5	10	50	15	43892000
-0.5	10	50	20	42732000
-0.5	10	50	25	42692000
-0.5	10	20	5	39974000
-0.5	10	20	10	40710000
-0.5	10	20	15	43130000
-0.5	10	20	20	42896000
-0.5	10	20	25	42692000
-0.5	10	10	5	38004000
-0.5	10	10	10	40710000
-0.5	10	10	15	43130000
-0.5	10	10	20	42896000
-0.5	10	10	25	42692000
-0.5	12	1000	5	48080000
-0.5	12	1000	10	47338000
-0.5	12	1000	15	47634000
-0.5	12	1000	20	46548000
-0.5	12	1000	25	45192000
-0.5	12	800	5	48916000
-0.5	12	800	10	48244000
-0.5	12	800	15	48302000
-0.5	12	800	20	46208000
-0.5	12	800	25	45024000
-0.5	12	600	5	47752000
-0.5	12	600	10	46784000
-0.5	12	600	15	46918000
-0.5	12	600	20	44496000
-0.5	12	600	25	44466000
-0.5	12	400	5	47394000
-0.5	12	400	10	46340000
-0.5	12	400	15	45782000
-0.5	12	400	20	43366000
-0.5	12	400	25	42856000
-0.5	12	200	5	43380000
-0.5	12	200	10	42856000
-0.5	12	200	15	43916000
-0.5	12	200	20	41396000
-0.5	12	200	25	41336000
-0.5	12	100	5	41346000
-0.5	12	100	10	41086000
-0.5	12	100	15	42620000
-0.5	12	100	20	39776000
-0.5	12	100	25	39844000
-0.5	12	50	5	39856000
-0.5	12	50	10	40348000
-0.5	12	50	15	41136000
-0.5	12	50	20	38466000
-0.5	12	50	25	39790000
-0.5	12	20	5	36476000
-0.5	12	20	10	36920000
-0.5	12	20	15	39296000
-0.5	12	20	20	38030000
-0.5	12	20	25	39790000
-0.5	12	10	5	33638000
-0.5	12	10	10	36920000
-0.5	12	10	15	39296000
-0.5	12	10	20	38030000
-0.5	12	10	25	39790000
-0.5	14	1000	5	47158000
-0.5	14	1000	10	46614000
-0.5	14	1000	15	46390000
-0.5	14	1000	20	44470000
-0.5	14	1000	25	44184000
-0.5	14	800	5	47896000
-0.5	14	800	10	47746000
-0.5	14	800	15	46460000
-0.5	14	800	20	43760000
-0.5	14	800	25	43136000
-0.5	14	600	5	46580000
-0.5	14	600	10	45946000
-0.5	14	600	15	44812000
-0.5	14	600	20	41928000
-0.5	14	600	25	42194000
-0.5	14	400	5	46328000
-0.5	14	400	10	45322000
-0.5	14	400	15	43776000
-0.5	14	400	20	40756000
-0.5	14	400	25	40268000
-0.5	14	200	5	42818000
-0.5	14	200	10	42544000
-0.5	14	200	15	41050000
-0.5	14	200	20	38010000
-0.5	14	200	25	38434000
-0.5	14	100	5	40326000
-0.5	14	100	10	39194000
-0.5	14	100	15	38038000
-0.5	14	100	20	36548000
-0.5	14	100	25	37888000
-0.5	14	50	5	36856000
-0.5	14	50	10	36988000
-0.5	14	50	15	35286000
-0.5	14	50	20	34654000
-0.5	14	50	25	36818000
-0.5	14	20	5	32168000
-0.5	14	20	10	32272000
-0.5	14	20	15	33384000
-0.5	14	20	20	34054000
-0.5	14	20	25	36818000
-0.5	14	10	5	28282000
-0.5	14	10	10	32272000
-0.5	14	10	15	33384000
-0.5	14	10	20	34054000
-0.5	14	10	25	36818000
