cp	max_depth	min_split	min_bucket	ganancia_promedio
-1	4	1000	5	48686000
-1	6	1000	5	48038000
-1	8	1000	5	48202000
-1	10	1000	5	47950000
-1	12	1000	5	46694000
-1	14	1000	5	46356000
-1	4	1000	10	48968000
-1	6	1000	10	48352000
-1	8	1000	10	48694000
-1	10	1000	10	47108000
-1	12	1000	10	46334000
-1	14	1000	10	45526000
-1	4	1000	15	48968000
-1	6	1000	15	48734000
-1	8	1000	15	48220000
-1	10	1000	15	46836000
-1	12	1000	15	45754000
-1	14	1000	15	45552000
-1	4	1000	20	48968000
-1	6	1000	20	48466000
-1	8	1000	20	48040000
-1	10	1000	20	46230000
-1	12	1000	20	43970000
-1	14	1000	20	43254000
-1	4	1000	25	48968000
-1	6	1000	25	48902000
-1	8	1000	25	48272000
-1	10	1000	25	46512000
-1	12	1000	25	44004000
-1	14	1000	25	42662000
-1	4	800	5	48686000
-1	6	800	5	47990000
-1	8	800	5	47908000
-1	10	800	5	47672000
-1	12	800	5	46774000
-1	14	800	5	46206000
-1	4	800	10	48968000
-1	6	800	10	48302000
-1	8	800	10	48386000
-1	10	800	10	45872000
-1	12	800	10	45318000
-1	14	800	10	43490000
-1	4	800	15	48968000
-1	6	800	15	48652000
-1	8	800	15	47958000
-1	10	800	15	46546000
-1	12	800	15	45384000
-1	14	800	15	45316000
-1	4	800	20	48968000
-1	6	800	20	48362000
-1	8	800	20	47824000
-1	10	800	20	46040000
-1	12	800	20	43218000
-1	14	800	20	43326000
-1	4	800	25	48968000
-1	6	800	25	48798000
-1	8	800	25	48064000
-1	10	800	25	46358000
-1	12	800	25	43286000
-1	14	800	25	42906000
-1	4	600	5	48686000
-1	6	600	5	47762000
-1	8	600	5	47766000
-1	10	600	5	47508000
-1	12	600	5	46864000
-1	14	600	5	45802000
-1	4	600	10	48958000
-1	6	600	10	47902000
-1	8	600	10	47706000
-1	10	600	10	45530000
-1	12	600	10	44494000
-1	14	600	10	42288000
-1	4	600	15	48954000
-1	6	600	15	48390000
-1	8	600	15	47266000
-1	10	600	15	44332000
-1	12	600	15	43870000
-1	14	600	15	43370000
-1	4	600	20	48948000
-1	6	600	20	48212000
-1	8	600	20	47408000
-1	10	600	20	44436000
-1	12	600	20	42334000
-1	14	600	20	42646000
-1	4	600	25	48946000
-1	6	600	25	48660000
-1	8	600	25	47706000
-1	10	600	25	44780000
-1	12	600	25	42148000
-1	14	600	25	42006000
-1	4	400	5	48686000
-1	6	400	5	47522000
-1	8	400	5	47432000
-1	10	400	5	46188000
-1	12	400	5	45502000
-1	14	400	5	44376000
-1	4	400	10	48958000
-1	6	400	10	47662000
-1	8	400	10	46616000
-1	10	400	10	43408000
-1	12	400	10	42242000
-1	14	400	10	39004000
-1	4	400	15	48954000
-1	6	400	15	48218000
-1	8	400	15	45948000
-1	10	400	15	41966000
-1	12	400	15	40910000
-1	14	400	15	40046000
-1	4	400	20	48948000
-1	6	400	20	48040000
-1	8	400	20	46748000
-1	10	400	20	41690000
-1	12	400	20	39008000
-1	14	400	20	38934000
-1	4	400	25	48946000
-1	6	400	25	48488000
-1	8	400	25	47208000
-1	10	400	25	42426000
-1	12	400	25	38722000
-1	14	400	25	38162000
-1	4	200	5	48686000
-1	6	200	5	47714000
-1	8	200	5	46874000
-1	10	200	5	43462000
-1	12	200	5	42114000
-1	14	200	5	39744000
-1	4	200	10	48958000
-1	6	200	10	47854000
-1	8	200	10	46052000
-1	10	200	10	40606000
-1	12	200	10	39288000
-1	14	200	10	34146000
-1	4	200	15	48954000
-1	6	200	15	48480000
-1	8	200	15	45496000
-1	10	200	15	39584000
-1	12	200	15	37588000
-1	14	200	15	35776000
-1	4	200	20	48948000
-1	6	200	20	48452000
-1	8	200	20	46308000
-1	10	200	20	41184000
-1	12	200	20	36618000
-1	14	200	20	36048000
-1	4	200	25	48946000
-1	6	200	25	48902000
-1	8	200	25	46674000
-1	10	200	25	41394000
-1	12	200	25	36062000
-1	14	200	25	35166000
-1	4	100	5	48686000
-1	6	100	5	47712000
-1	8	100	5	46942000
-1	10	100	5	42622000
-1	12	100	5	40642000
-1	14	100	5	38226000
-1	4	100	10	48958000
-1	6	100	10	47994000
-1	8	100	10	45588000
-1	10	100	10	39680000
-1	12	100	10	37876000
-1	14	100	10	31458000
-1	4	100	15	48954000
-1	6	100	15	48358000
-1	8	100	15	44802000
-1	10	100	15	38308000
-1	12	100	15	35260000
-1	14	100	15	33302000
-1	4	100	20	48948000
-1	6	100	20	48184000
-1	8	100	20	45530000
-1	10	100	20	38830000
-1	12	100	20	33566000
-1	14	100	20	31896000
-1	4	100	25	48946000
-1	6	100	25	48412000
-1	8	100	25	44688000
-1	10	100	25	38846000
-1	12	100	25	33048000
-1	14	100	25	31622000
-1	4	50	5	48686000
-1	6	50	5	47766000
-1	8	50	5	46238000
-1	10	50	5	41328000
-1	12	50	5	38168000
-1	14	50	5	34600000
-1	4	50	10	48958000
-1	6	50	10	48044000
-1	8	50	10	44836000
-1	10	50	10	37804000
-1	12	50	10	34782000
-1	14	50	10	27988000
-1	4	50	15	48954000
-1	6	50	15	48480000
-1	8	50	15	43710000
-1	10	50	15	36856000
-1	12	50	15	32992000
-1	14	50	15	31242000
-1	4	50	20	48948000
-1	6	50	20	48172000
-1	8	50	20	45074000
-1	10	50	20	38094000
-1	12	50	20	30774000
-1	14	50	20	29130000
-1	4	50	25	48946000
-1	6	50	25	48428000
-1	8	50	25	43776000
-1	10	50	25	37796000
-1	12	50	25	29974000
-1	14	50	25	28406000
-1	4	20	5	48686000
-1	6	20	5	47464000
-1	8	20	5	45088000
-1	10	20	5	39380000
-1	12	20	5	35096000
-1	14	20	5	29970000
-1	4	20	10	48966000
-1	6	20	10	47922000
-1	8	20	10	44014000
-1	10	20	10	36360000
-1	12	20	10	32218000
-1	14	20	10	24772000
-1	4	10	5	48686000
-1	6	10	5	47500000
-1	8	10	5	44558000
-1	10	10	5	38398000
-1	12	10	5	33634000
-1	14	10	5	27770000
