max_depth	min_split	ganancia_promedio
4	1000	146016000
4	1000	146016000
4	1000	146016000
4	1000	146016000
4	1000	146016000
4	800	146016000
4	800	146016000
4	800	146016000
4	800	146016000
4	800	146016000
4	600	146016000
4	600	146016000
4	600	146016000
4	600	146016000
4	600	146016000
4	400	146016000
4	400	146016000
4	400	146016000
4	400	146016000
4	400	146016000
4	200	146016000
4	200	146016000
4	200	146016000
4	200	146016000
4	200	146016000
4	100	146016000
4	100	146016000
4	100	146016000
4	100	146016000
4	100	146016000
4	50	146016000
4	50	146016000
4	50	146016000
4	50	146016000
4	50	146016000
4	20	146016000
4	20	146016000
4	20	146016000
4	20	146016000
4	20	146016000
4	10	146016000
4	10	146016000
4	10	146016000
4	10	146016000
4	10	146016000
6	1000	146016000
6	1000	146016000
6	1000	146016000
6	1000	146016000
6	1000	146016000
6	800	146016000
6	800	146016000
6	800	146016000
6	800	146016000
6	800	146016000
6	600	146016000
6	600	146016000
6	600	146016000
6	600	146016000
6	600	146016000
6	400	146016000
6	400	146016000
6	400	146016000
6	400	146016000
6	400	146016000
6	200	146016000
6	200	146016000
6	200	146016000
6	200	146016000
6	200	146016000
6	100	146016000
6	100	146016000
6	100	146016000
6	100	146016000
6	100	146016000
6	50	146016000
6	50	146016000
6	50	146016000
6	50	146016000
6	50	146016000
6	20	146016000
6	20	146016000
6	20	146016000
6	20	146016000
6	20	146016000
6	10	146016000
6	10	146016000
6	10	146016000
6	10	146016000
6	10	146016000
8	1000	146016000
8	1000	146016000
8	1000	146016000
8	1000	146016000
8	1000	146016000
8	800	146016000
8	800	146016000
8	800	146016000
8	800	146016000
8	800	146016000
8	600	146016000
8	600	146016000
8	600	146016000
8	600	146016000
8	600	146016000
8	400	146016000
8	400	146016000
8	400	146016000
8	400	146016000
8	400	146016000
8	200	146016000
8	200	146016000
8	200	146016000
8	200	146016000
8	200	146016000
8	100	146016000
8	100	146016000
8	100	146016000
8	100	146016000
8	100	146016000
8	50	146016000
8	50	146016000
8	50	146016000
8	50	146016000
8	50	146016000
8	20	146016000
8	20	146016000
8	20	146016000
8	20	146016000
8	20	146016000
8	10	146016000
8	10	146016000
8	10	146016000
8	10	146016000
8	10	146016000
10	1000	146016000
10	1000	146016000
10	1000	146016000
10	1000	146016000
10	1000	146016000
10	800	146016000
10	800	146016000
10	800	146016000
10	800	146016000
10	800	146016000
10	600	146016000
10	600	146016000
10	600	146016000
10	600	146016000
10	600	146016000
10	400	146016000
10	400	146016000
10	400	146016000
10	400	146016000
10	400	146016000
10	200	146016000
10	200	146016000
10	200	146016000
10	200	146016000
10	200	146016000
10	100	146016000
10	100	146016000
10	100	146016000
10	100	146016000
10	100	146016000
10	50	146016000
10	50	146016000
10	50	146016000
10	50	146016000
10	50	146016000
10	20	146016000
10	20	146016000
10	20	146016000
10	20	146016000
10	20	146016000
10	10	146016000
10	10	146016000
10	10	146016000
10	10	146016000
10	10	146016000
12	1000	146016000
12	1000	146016000
12	1000	146016000
12	1000	146016000
12	1000	146016000
12	800	146016000
12	800	146016000
12	800	146016000
12	800	146016000
12	800	146016000
12	600	146016000
12	600	146016000
12	600	146016000
12	600	146016000
12	600	146016000
12	400	146016000
12	400	146016000
12	400	146016000
12	400	146016000
12	400	146016000
12	200	146016000
12	200	146016000
12	200	146016000
12	200	146016000
12	200	146016000
12	100	146016000
12	100	146016000
12	100	146016000
12	100	146016000
12	100	146016000
12	50	146016000
12	50	146016000
12	50	146016000
12	50	146016000
12	50	146016000
12	20	146016000
12	20	146016000
12	20	146016000
12	20	146016000
12	20	146016000
12	10	146016000
12	10	146016000
12	10	146016000
12	10	146016000
12	10	146016000
14	1000	146016000
14	1000	146016000
14	1000	146016000
14	1000	146016000
14	1000	146016000
14	800	146016000
14	800	146016000
14	800	146016000
14	800	146016000
14	800	146016000
14	600	146016000
14	600	146016000
14	600	146016000
14	600	146016000
14	600	146016000
14	400	146016000
14	400	146016000
14	400	146016000
14	400	146016000
14	400	146016000
14	200	146016000
14	200	146016000
14	200	146016000
14	200	146016000
14	200	146016000
14	100	146016000
14	100	146016000
14	100	146016000
14	100	146016000
14	100	146016000
14	50	146016000
14	50	146016000
14	50	146016000
14	50	146016000
14	50	146016000
14	20	146016000
14	20	146016000
14	20	146016000
14	20	146016000
14	20	146016000
14	10	146016000
14	10	146016000
14	10	146016000
14	10	146016000
14	10	146016000
